Sending_Country,Receiving_Country,Year,Value,Unit,Source,Region,Sending_Country_Code,Receiving_Country_Code,Sending_Country_GDP,Receiving_Country_GDP,Sending_Country_GDP_Per_Capita,Receiving_Country_GDP_Per_Capita
Equatorial Guinea,Senegal,2021,4.981180446,USD millions,BCEAO,Africa,GNQ,SEN,9652.08529325754,24359.596784117,5487.924792,1414.539511
France,Kenya,2024,"25,420.562300568",USD millions,Central Bank of Kenya,Africa,FRA,KEN,2702385.0113175,104575.203135656,39441.26105,1853.087855
France,Morocco,2020,"2,740.1718325",USD millions,Bank Al-Maghrib,Africa,FRA,MAR,2413981.86767636,114775.951852213,35709.20459,3090.894287
France,Senegal,2021,"1,630.192958418",USD millions,BCEAO,Africa,FRA,SEN,2580120.25505175,24359.596784117,38030.85717,1414.539511
Gabon,Senegal,2021,110.182458279,USD millions,BCEAO,Africa,GAB,SEN,15398.8983138373,24359.596784117,6479.049007,1414.539511
Germany,Ethiopia,2020,61.4673327,USD millions,National Bank of Ethiopia,Africa,DEU,ETH,3522914.63971192,95071.77581198268,42362.64721,799.4755953
Germany,Kenya,2024,"197,764.185703727",USD millions,Central Bank of Kenya,Africa,DEU,KEN,3683559.54524029,104575.203135656,44108.70126,1853.087855
Germany,Morocco,2020,349.588167,USD millions,Bank Al-Maghrib,Africa,DEU,MAR,3522914.63971192,114775.951852213,42362.64721,3090.894287
Germany,Senegal,2021,81.314844041,USD millions,BCEAO,Africa,DEU,SEN,3652205.60290436,24359.596784117,43898.77132,1414.539511
Germany,Uganda,2022,27.9,USD millions,Bank of Uganda,Africa,DEU,UGA,3702230.99691575,44147.216889624,44180.42984,933.0940564
Greece,Senegal,2021,7.552688969,USD millions,BCEAO,Africa,GRC,SEN,203277.223532871,24359.596784117,19232.96833,1414.539511
Guinea-Bissau,Senegal,2021,20.567153363,USD millions,BCEAO,Africa,GNB,SEN,1497.07263573124,24359.596784117,727.1433956,1414.539511
India,Kenya,2024,"20,594.869099147",USD millions,Central Bank of Kenya,Africa,IND,KEN,3477476.26413411,104575.203135656,2396.712719,1853.087855
India,Senegal,2021,0.067644659,USD millions,BCEAO,Africa,IND,SEN,2779348.25893877,24359.596784117,1965.309434,1414.539511
Iraq,Kenya,2024,"18,473.974825301",USD millions,Central Bank of Kenya,Africa,IRQ,KEN,192469.260104189,104575.203135656,4180.296195,1853.087855
Israel,Ethiopia,2020,16.12958144,USD millions,National Bank of Ethiopia,Africa,ISR,ETH,349579.824803208,95071.77581198268,37935.54327,799.4755953
Italy,Ethiopia,2020,40.64448902,USD millions,National Bank of Ethiopia,Africa,ITA,ETH,1751650.98723543,95071.77581198268,29469.79892,799.4755953
Italy,Kenya,2024,"33,857.169027017",USD millions,Central Bank of Kenya,Africa,ITA,KEN,2029012.87528216,104575.203135656,34398.19761,1853.087855
Italy,Morocco,2020,696.568306,USD millions,Bank Al-Maghrib,Africa,ITA,MAR,1751650.98723543,114775.951852213,29469.79892,3090.894287
Italy,Senegal,2021,966.610341655,USD millions,BCEAO,Africa,ITA,SEN,1908092.02482083,24359.596784117,32267.70911,1414.539511
Italy,Uganda,2022,10.4,USD millions,Bank of Uganda,Africa,ITA,UGA,2000084.51291956,44147.216889624,33891.88665,933.0940564
Japan,Kenya,2024,"6,019.671359217",USD millions,Central Bank of Kenya,Africa,JPN,KEN,4605054.52689198,104575.203135656,37144.91427,1853.087855
Japan,Uganda,2022,10.7,USD millions,Bank of Uganda,Africa,JPN,UGA,4534320.57875585,44147.216889624,36238.32949,933.0940564
Kenya,Uganda,2022,29.3,USD millions,Bank of Uganda,Africa,KEN,UGA,94807.911027625,44147.216889624,1747.531988,933.0940564
Kuwait,Ethiopia,2020,13.69625133,USD millions,National Bank of Ethiopia,Africa,KWT,ETH,112389.026890492,95071.77581198268,25541.41076,799.4755953
Kuwait,Morocco,2020,107.6373625,USD millions,Bank Al-Maghrib,Africa,KWT,MAR,112389.026890492,114775.951852213,25541.41076,3090.894287
Lebanon,Ethiopia,2020,72.80490292,USD millions,National Bank of Ethiopia,Africa,LBN,ETH,36728.1671628739,95071.77581198268,6440.828431,799.4755953
Libya,Senegal,2021,8.0158e-05,USD millions,BCEAO,Africa,LBY,SEN,55179.0915328781,24359.596784117,7733.390076,1414.539511
Luxembourg,Senegal,2021,10.453967042,USD millions,BCEAO,Africa,LUX,SEN,70965.93444076739,24359.596784117,110873.1852,1414.539511
Malawi,Kenya,2024,"2,348.468507446",USD millions,Central Bank of Kenya,Africa,MWI,KEN,11964.445581275,104575.203135656,552.4953853,1853.087855
Mali,Senegal,2021,59.378847294,USD millions,BCEAO,Africa,MLI,SEN,19530.3363785945,24359.596784117,872.3328037,1414.539511
Mauritania,Senegal,2021,0.056017187,USD millions,BCEAO,Africa,MRT,SEN,7198.48187357489,24359.596784117,1520.311179,1414.539511
Morocco,Senegal,2021,2.328185595,USD millions,BCEAO,Africa,MAR,SEN,124135.631043727,24359.596784117,3309.130859,1414.539511
Namibia,Kenya,2020,22.27557275,USD millions,Central Bank of Kenya,Africa,NAM,KEN,10335.1845461643,84035.13834685899,3787.49944,1609.334141
Namibia,Morocco,2020,275.3155765,USD millions,Bank Al-Maghrib,Africa,NAM,MAR,10335.1845461643,114775.951852213,3787.49944,3090.894287
New Zealand,Kenya,2024,"2,997.798884179",USD millions,Central Bank of Kenya,Africa,NZL,KEN,221100.836865781,104575.203135656,41416.28489,1853.087855
Niger,Senegal,2021,13.518544121,USD millions,BCEAO,Africa,NER,SEN,12821.0676814111,24359.596784117,523.2631795,1414.539511
Nigeria,Kenya,2024,"7,235.873538576",USD millions,Central Bank of Kenya,Africa,NGA,KEN,569515.2942711341,104575.203135656,2447.638697,1853.087855
Norway,Ethiopia,2020,13.01269086,USD millions,National Bank of Ethiopia,Africa,NOR,ETH,405005.642242722,95071.77581198268,75287.20595,799.4755953
Norway,Kenya,2024,"20,219.725544913",USD millions,Central Bank of Kenya,Africa,NOR,KEN,443943.701526195,104575.203135656,79670.142,1853.087855
Norway,Morocco,2020,28.665825,USD millions,Bank Al-Maghrib,Africa,NOR,MAR,405005.642242722,114775.951852213,75287.20595,3090.894287
Norway,Senegal,2021,0.001034610,USD millions,BCEAO,Africa,NOR,SEN,420836.044191958,24359.596784117,77812.71156,1414.539511
Oman,Kenya,2024,"8,642.361559321",USD millions,Central Bank of Kenya,Africa,OMN,KEN,91453.5859772428,104575.203135656,17315.71106,1853.087855
Oman,Morocco,2020,19.470278,USD millions,Bank Al-Maghrib,Africa,OMN,MAR,80246.67066085809,114775.951852213,17743.88588,3090.894287
Oman,Uganda,2022,8.7,USD millions,Bank of Uganda,Africa,OMN,UGA,88892.5169401985,44147.216889624,18792.44606,933.0940564
Portugal,Senegal,2021,28.855230561,USD millions,BCEAO,Africa,PRT,SEN,214984.15236951903,24359.596784117,20747.69916,1414.539511
Qatar,Kenya,2024,"69,232.138058795",USD millions,Central Bank of Kenya,Africa,QAT,KEN,177724.60042445,104575.203135656,62188.82786,1853.087855
Qatar,Morocco,2020,137.6072015,USD millions,Bank Al-Maghrib,Africa,QAT,MAR,161416.82376897198,114775.951852213,57769.6041,3090.894287
Qatar,Uganda,2022,23,USD millions,Bank of Uganda,Africa,QAT,UGA,170908.03635371,44147.216889624,64315.62636,933.0940564
Saudi Arabia,Ethiopia,2020,137.49327083,USD millions,National Bank of Ethiopia,Africa,SAU,ETH,720270.347023098,95071.77581198268,22827.67194,799.4755953
Saudi Arabia,Kenya,2024,"404,105.02454433",USD millions,Central Bank of Kenya,Africa,SAU,KEN,879583.64309682,104575.203135656,24917.18601,1853.087855
Saudi Arabia,Morocco,2020,532.442406,USD millions,Bank Al-Maghrib,Africa,SAU,MAR,720270.347023098,114775.951852213,22827.67194,3090.894287
Saudi Arabia,Uganda,2022,195.7,USD millions,Bank of Uganda,Africa,SAU,UGA,859301.066620788,44147.216889624,26706.91793,933.0940564
Somalia,Uganda,2022,30,USD millions,Bank of Uganda,Africa,SOM,UGA,8194.20688451117,44147.216889624,460.2996458,933.0940564
South Africa,Ethiopia,2020,67.93372415,USD millions,National Bank of Ethiopia,Africa,ZAF,ETH,337307.31867963896,95071.77581198268,5569.584833,799.4755953
South Africa,Kenya,2024,"24,095.095706679",USD millions,Central Bank of Kenya,Africa,ZAF,KEN,365414.753361996,104575.203135656,5708.964422,1853.087855
South Africa,Senegal,2021,14.579840557,USD millions,BCEAO,Africa,ZAF,SEN,354021.006263537,24359.596784117,5756.195494,1414.539511
South Africa,Uganda,2022,28.7,USD millions,Bank of Uganda,Africa,ZAF,UGA,360788.046853641,44147.216889624,5783.860904,933.0940564
South Sudan,Ethiopia,2020,11.33937986,USD millions,National Bank of Ethiopia,Africa,SSD,ETH,,95071.77581198268,,799.4755953
South Sudan,Kenya,2024,"5,789.706224355",USD millions,Central Bank of Kenya,Africa,SSD,KEN,,104575.203135656,,1853.087855
South Sudan,Uganda,2022,113.3,USD millions,Bank of Uganda,Africa,SSD,UGA,,44147.216889624,,933.0940564
Spain,Morocco,2020,705.7301285,USD millions,Bank Al-Maghrib,Africa,ESP,MAR,1187633.21729202,114775.951852213,25077.01988,3090.894287
Spain,Senegal,2021,682.891794356,USD millions,BCEAO,Africa,ESP,SEN,1267004.45782692,24359.596784117,26705.36291,1414.539511
Sudan,Ethiopia,2020,1.89005089,USD millions,National Bank of Ethiopia,Africa,SDN,ETH,49449.890489355006,95071.77581198268,1056.864746,799.4755953
Sudan,Uganda,2022,13.8,USD millions,Bank of Uganda,Africa,SDN,UGA,48061.1199479824,44147.216889624,973.2252808,933.0940564
Sweden,Ethiopia,2020,23.15221747,USD millions,National Bank of Ethiopia,Africa,SWE,ETH,535436.339440588,95071.77581198268,51715.78104,799.4755953
Sweden,Kenya,2024,"18,233.930534005",USD millions,Central Bank of Kenya,Africa,SWE,KEN,580446.460657157,104575.203135656,54916.03039,1853.087855
Sweden,Morocco,2020,32.3417955,USD millions,Bank Al-Maghrib,Africa,SWE,MAR,535436.339440588,114775.951852213,51715.78104,3090.894287
Sweden,Senegal,2021,0.009709596,USD millions,BCEAO,Africa,SWE,SEN,567227.918083309,24359.596784117,54458.35356,1414.539511
Sweden,Uganda,2022,7.3,USD millions,Bank of Uganda,Africa,SWE,UGA,575505.409859556,44147.216889624,54878.29195,933.0940564
Switzerland,Kenya,2024,"51,518.222344458",USD millions,Central Bank of Kenya,Africa,CHE,KEN,811109.937475131,104575.203135656,89783.12814,1853.087855
Switzerland,Morocco,2020,119.474662,USD millions,Bank Al-Maghrib,Africa,CHE,MAR,731108.655210761,114775.951852213,84637.01329,3090.894287
Tanzania,Kenya,2024,"75,845.291390990",USD millions,Central Bank of Kenya,Africa,TZA,KEN,74463.2252684644,104575.203135656,1120.77417,1853.087855
The Netherlands,Kenya,2024,"31,220.545359899",USD millions,Central Bank of Kenya,Africa,NLD,KEN,926182.265714104,104575.203135656,51471.04963,1853.087855
The Netherlands,Senegal,2021,0.000645780,USD millions,BCEAO,Africa,NLD,SEN,872809.729132839,24359.596784117,49780.84405,1414.539511
Togo,Senegal,2021,19.595612958,USD millions,BCEAO,Africa,TGO,SEN,7415.21371765264,24359.596784117,835.1990513,1414.539511
Tunisia,Senegal,2021,0.198476898,USD millions,BCEAO,Africa,TUN,SEN,47020.260421799,24359.596784117,3902.542583,1414.539511
Turkey,Uganda,2022,25.4,USD millions,Bank of Uganda,Africa,TUR,UGA,1194401.44255695,44147.216889624,14055.10315,933.0940564
Uganda,Kenya,2024,"64,988.791356259",USD millions,Central Bank of Kenya,Africa,UGA,KEN,49356.9971790834,104575.203135656,986.8420752,1853.087855
United Arab Emirates,Ethiopia,2020,282.08303062,USD millions,National Bank of Ethiopia,Africa,ARE,ETH,383342.656333374,95071.77581198268,40776.63087,799.4755953
United Arab Emirates,Kenya,2024,"137,814.495861864",USD millions,Central Bank of Kenya,Africa,ARE,KEN,462404.360915143,104575.203135656,42512.19717,1853.087855
United Arab Emirates,Morocco,2020,454.6849505,USD millions,Bank Al-Maghrib,Africa,ARE,MAR,383342.656333374,114775.951852213,40776.63087,3090.894287
United Arab Emirates,Senegal,2021,4.375840988,USD millions,BCEAO,Africa,ARE,SEN,400036.290964175,24359.596784117,41778.58388,1414.539511
United Arab Emirates,Uganda,2022,186.9,USD millions,Bank of Uganda,Africa,ARE,UGA,430077.804445494,44147.216889624,42687.72072,933.0940564
United Kingdom,Ethiopia,2020,86.22223346,USD millions,National Bank of Ethiopia,Africa,GBR,ETH,2831893.57701153,95071.77581198268,42429.1858,799.4755953
United Kingdom,Kenya,2024,"358,836.441397577",USD millions,Central Bank of Kenya,Africa,GBR,KEN,3271966.95594246,104575.203135656,47265.00095,1853.087855
United Kingdom,Morocco,2020,204.8088885,USD millions,Bank Al-Maghrib,Africa,GBR,MAR,2831893.57701153,114775.951852213,42429.1858,3090.894287
United Kingdom,Senegal,2021,61.392150749,USD millions,BCEAO,Africa,GBR,SEN,3074755.37897802,24359.596784117,45902.8332,1414.539511
United Kingdom,Uganda,2022,136.6,USD millions,Bank of Uganda,Africa,GBR,UGA,3223545.4108056203,44147.216889624,47682.76153,933.0940564
United States,Ethiopia,2020,387.04401602,USD millions,National Bank of Ethiopia,Africa,USA,ETH,19723580.2219382,95071.77581198268,59484.03355,799.4755953
United States,Kenya,2024,2.637772,USD millions,Central Bank of Kenya,Africa,USA,KEN,22679489.9695556,104575.203135656,66682.6147,1853.087855
United States,Morocco,2020,422.388121,USD millions,Bank Al-Maghrib,Africa,USA,MAR,19723580.2219382,114775.951852213,59484.03355,3090.894287
United States,Senegal,2021,479.695927280,USD millions,BCEAO,Africa,USA,SEN,20917853.4446683,24359.596784117,62986.65631,1414.539511
United States,Uganda,2022,184.5,USD millions,Bank of Uganda,Africa,USA,UGA,21443388.432051,44147.216889624,64198.43249,933.0940564
Zambia,Kenya,2024,"8,091.510769618",USD millions,Central Bank of Kenya,Africa,ZMB,KEN,28695.8241191189,104575.203135656,1346.276489,1853.087855
Afghanistan,Ecuador,2021,0.03859066,USD millions,Central Bank Data,Latin America,AFG,ECU,16345.2025625485,102825.145845295,408.6258552,5815.094774
Afghanistan,Mexico,2022,0.295915,USD millions,Central Bank Data,Latin America,AFG,MEX,15325.2338101388,1287850.32341001,377.6656271,10013.36686
Afghanistan,Panama,2022,0.000387472,USD millions,INEC,Latin America,AFG,PAN,15325.2338101388,70048.9853448611,377.6656271,15917.42754
Albania,Ecuador,2021,1.89796382,USD millions,Central Bank Data,Latin America,ALB,ECU,13722.964212462,102825.145845295,4880.723462,5815.094774
Albania,Mexico,2022,0.023831,USD millions,Central Bank Data,Latin America,ALB,MEX,14385.3299935341,1287850.32341001,5178.884315,10013.36686
Albania,Panama,2022,0.038935399,USD millions,INEC,Latin America,ALB,PAN,14385.3299935341,70048.9853448611,5178.884315,15917.42754
American Samoa,Ecuador,2021,0.0553291,USD millions,Central Bank Data,Latin America,ASM,ECU,651.4229007633589,102825.145845295,13233.57848,5815.094774
Angola,Brazil,2022,8.32422068,USD millions,Central Bank Data,Latin America,AGO,BRA,84883.4458381604,1899505.37755802,2382.02264,9032.084816
Angola,Ecuador,2021,0.00924998,USD millions,Central Bank Data,Latin America,AGO,ECU,82375.3419525616,102825.145845295,2385.448818,5815.094774
Angola,Mexico,2022,0.021185,USD millions,Central Bank Data,Latin America,AGO,MEX,84883.4458381604,1287850.32341001,2382.02264,10013.36686
Angola,Panama,2022,0.00090577,USD millions,INEC,Latin America,AGO,PAN,84883.4458381604,70048.9853448611,2382.02264,15917.42754
Anguilla,Ecuador,2021,0.0424175,USD millions,Central Bank Data,Latin America,AIA,ECU,,102825.145845295,,5815.094774
Anguilla,Mexico,2022,0.056245,USD millions,Central Bank Data,Latin America,AIA,MEX,,1287850.32341001,,10013.36686
Antigua and Barbuda,Ecuador,2021,0.05750221,USD millions,Central Bank Data,Latin America,ATG,ECU,1485.4079403184098,102825.145845295,16084.72144,5815.094774
Antigua and Barbuda,Jamaica,2022,7.648208936,USD millions,Central Bank Data,Latin America,ATG,JAM,1620.69601730498,14806.3802902635,17456.87222,5215.086058
Antigua and Barbuda,Mexico,2022,0.01536,USD millions,Central Bank Data,Latin America,ATG,MEX,1620.69601730498,1287850.32341001,17456.87222,10013.36686
Antigua and Barbuda,Panama,2022,0.102322835,USD millions,INEC,Latin America,ATG,PAN,1620.69601730498,70048.9853448611,17456.87222,15917.42754
Argentina,Bolivia,2022,68,USD millions,Central Bank Data,Latin America,ARG,BOL,598603.016935287,38319.7283375714,13182.7934,3172.910467
Argentina,Chile,2021,8.239642018,USD millions,Central Bank Data,Latin America,ARG,CHL,568636.554720066,273390.12003128,12549.28117,14051.47136
Argentina,Colombia,2022,18.009561145,USD millions,Central Bank Data,Latin America,ARG,COL,598603.016935287,354752.90089902,13182.7934,6856.725905
Argentina,Ecuador,2021,6.4922729,USD millions,Central Bank Data,Latin America,ARG,ECU,568636.554720066,102825.145845295,12549.28117,5815.094774
Argentina,Mexico,2022,18.71145,USD millions,Central Bank Data,Latin America,ARG,MEX,598603.016935287,1287850.32341001,13182.7934,10013.36686
Argentina,Panama,2022,0.802349126,USD millions,INEC,Latin America,ARG,PAN,598603.016935287,70048.9853448611,13182.7934,15917.42754
Argentina,Paraguay,2022,25.403764574,USD millions,Central Bank Data,Latin America,ARG,PRY,598603.016935287,42037.90309474491,13182.7934,6218.197907
Armenia,Ecuador,2021,0.0034,USD millions,Central Bank Data,Latin America,ARM,ECU,12633.6158996682,102825.145845295,4264.799615,5815.094774
Armenia,Mexico,2022,0.05807,USD millions,Central Bank Data,Latin America,ARM,MEX,14225.4515029981,1287850.32341001,4791.004817,10013.36686
Aruba,Colombia,2022,33.061651351,USD millions,Central Bank Data,Latin America,ABW,COL,3210.40700876028,354752.90089902,29917.12803,6856.725905
Aruba,Ecuador,2021,2.48260401,USD millions,Central Bank Data,Latin America,ABW,ECU,2958.41190544105,102825.145845295,27469.00562,5815.094774
Aruba,Mexico,2022,0.052949,USD millions,Central Bank Data,Latin America,ABW,MEX,3210.40700876028,1287850.32341001,29917.12803,10013.36686
Aruba,Panama,2022,0.371314345,USD millions,INEC,Latin America,ABW,PAN,3210.40700876028,70048.9853448611,29917.12803,15917.42754
Aruba,Suriname,2022,0.616751910,USD millions,Central Bank Data,Latin America,ABW,SUR,3210.40700876028,4412.832154845641,29917.12803,7081.333573
Australia,Chile,2021,8.455789159,USD millions,Central Bank Data,Latin America,AUS,CHL,1522541.4042276298,273390.12003128,59276.50311,14051.47136
Australia,Colombia,2022,139.554616564,USD millions,Central Bank Data,Latin America,AUS,COL,1587133.48080453,354752.90089902,61009.80771,6856.725905
Australia,Ecuador,2021,5.56670612,USD millions,Central Bank Data,Latin America,AUS,ECU,1522541.4042276298,102825.145845295,59276.50311,5815.094774
Australia,Mexico,2022,6.321704,USD millions,Central Bank Data,Latin America,AUS,MEX,1587133.48080453,1287850.32341001,61009.80771,10013.36686
Australia,Panama,2022,0.606995904,USD millions,INEC,Latin America,AUS,PAN,1587133.48080453,70048.9853448611,61009.80771,15917.42754
Austria,Ecuador,2021,2.27691379,USD millions,Central Bank Data,Latin America,AUT,ECU,405817.601897046,102825.145845295,45313.3989,5815.094774
Austria,Mexico,2022,0.3355,USD millions,Central Bank Data,Latin America,AUT,MEX,427236.22672829794,1287850.32341001,47250.9696,10013.36686
Austria,Panama,2022,0.260785796,USD millions,INEC,Latin America,AUT,PAN,427236.22672829794,70048.9853448611,47250.9696,15917.42754
Azerbaijan,Ecuador,2021,0.1052554,USD millions,Central Bank Data,Latin America,AZE,ECU,54232.7275522244,102825.145845295,5349.58226,5815.094774
Azerbaijan,Mexico,2022,0.000339,USD millions,Central Bank Data,Latin America,AZE,MEX,56789.6273168954,1287850.32341001,5599.585251,10013.36686
Bahamas,Ecuador,2021,1.19725033,USD millions,Central Bank Data,Latin America,BHS,ECU,11540.093873180402,102825.145845295,29114.22794,5815.094774
Bahamas,Haiti,2019,47.883664352,USD millions,Central Bank Data,Latin America,BHS,HTI,12281.3713576813,15485.274058243,31117.68254,1394.421141
Bahamas,Jamaica,2022,21.752802625,USD millions,Central Bank Data,Latin America,BHS,JAM,12795.3623928778,14806.3802902635,32186.51398,5215.086058
Bahamas,Mexico,2022,1.002488,USD millions,Central Bank Data,Latin America,BHS,MEX,12795.3623928778,1287850.32341001,32186.51398,10013.36686
Bahamas,Panama,2022,0.964305300,USD millions,INEC,Latin America,BHS,PAN,12795.3623928778,70048.9853448611,32186.51398,15917.42754
Bahrain,Ecuador,2021,0.06671668,USD millions,Central Bank Data,Latin America,BHR,ECU,36235.3159860804,102825.145845295,24086.78478,5815.094774
Bahrain,Mexico,2022,0.053798,USD millions,Central Bank Data,Latin America,BHR,MEX,38474.7169451891,1287850.32341001,25234.40256,10013.36686
Barbados,Ecuador,2021,0.01994765,USD millions,Central Bank Data,Latin America,BRB,ECU,4542.50320952524,102825.145845295,16099.77497,5815.094774
Barbados,Jamaica,2022,4.181996858,USD millions,Central Bank Data,Latin America,BRB,JAM,5352.561584792131,14806.3802902635,18959.33516,5215.086058
Barbados,Mexico,2022,0.000827,USD millions,Central Bank Data,Latin America,BRB,MEX,5352.561584792131,1287850.32341001,18959.33516,10013.36686
Barbados,Panama,2022,0.082558817,USD millions,INEC,Latin America,BRB,PAN,5352.561584792131,70048.9853448611,18959.33516,15917.42754
Belarus,Ecuador,2021,0.12746578,USD millions,Central Bank Data,Latin America,BLR,ECU,60073.5872345107,102825.145845295,6457.730538,5815.094774
Belarus,Mexico,2022,0.005382,USD millions,Central Bank Data,Latin America,BLR,MEX,57275.1217003422,1287850.32341001,6206.619097,10013.36686
Belgium,Colombia,2022,21.769062927,USD millions,Central Bank Data,Latin America,BEL,COL,520899.825783061,354752.90089902,44596.786,6856.725905
Belgium,Ecuador,2021,21.50461288,USD millions,Central Bank Data,Latin America,BEL,ECU,499619.240040636,102825.145845295,43121.94297,5815.094774
Belgium,Mexico,2022,0.632507,USD millions,Central Bank Data,Latin America,BEL,MEX,520899.825783061,1287850.32341001,44596.786,10013.36686
Belgium,Panama,2022,0.493700313,USD millions,INEC,Latin America,BEL,PAN,520899.825783061,70048.9853448611,44596.786,15917.42754
Belgium,Suriname,2022,6.562809501,USD millions,Central Bank Data,Latin America,BEL,SUR,520899.825783061,4412.832154845641,44596.786,7081.333573
Belize,Ecuador,2021,0.0741716,USD millions,Central Bank Data,Latin America,BLZ,ECU,2302.61526650756,102825.145845295,5824.303943,5815.094774
Belize,Mexico,2022,0.473696,USD millions,Central Bank Data,Latin America,BLZ,MEX,2524.8862052506,1287850.32341001,6269.379974,10013.36686
Belize,Panama,2022,0.129584041,USD millions,INEC,Latin America,BLZ,PAN,2524.8862052506,70048.9853448611,6269.379974,15917.42754
